abbreviation,full name,department,overarching degree program abbreviation
BWI,Bachelor Wirtschaftsinformatik,FB08,BWI
MWI,Master Wirtschaftsinformatik,FB08,MWI
BWL,Bachelor Betriebswirtschaftslehre,FB08,BWL
BBW,Bachelor Betriebswirtschaft,FB08,BWL
BBWD,Bachelor Betriebswirtschaft (Dual),FB08,BWL
BBS,Bachelorstudiengang Berufsbegleitendes betriebswirtschaftliches Studium,FB08,BWL
BSW,Bachelor Steuern & Wirtschaftsprüfung,FB08,BSW
IMB,Master Internationales Marketing,FB08,IMB
MBM,Master Business Management,FB08,MBM
BCSM,Bachelor Cyber Security Management,FB08,BCSM
BCSMD,Bachelor Cyber Security Management (Dual),FB08,BCSM
BCSMT,Bachelor Cyber Security Management (Teilzeit),FB08,BCSM
